text,Circulated as claim or as debunk or undecided,screen_name,user_id,tweet_id,retweet_count,created_at
#macron avoue ne pas avoir de compte aux  #Bahamas https://t.co/3c0dgU9f42,debunk,Raymaxpowa,714171025496412200,860205759174496256,0,2017-05-04T18:53:29.000Z
"#MLP2017 #macron2017....Macron N'A PAS de compte aux Bahamas, juste 1 pote O'BAMA !!!! https://t.co/werFcoNM7E",claim,54mickAttila,7.15579E+17,860548322939084800,0,2017-05-05T17:34:43.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur https://t.co/kyAeXCxcoz via @libe,debunk,JSmi20,3360099802,860745800938393600,0,2017-05-06T06:39:25.000Z
«Compte aux Bahamas» : Macron ciblé par le poison de la rumeur  https://t.co/ya4cGJV6ot,debunk,rosselin,14218578,861487906464174080,0,2017-05-08T07:48:17.000Z
"«Compte aux Bahamas» : après la plainte de #Macron, le parquet ouvre une enquête
https://t.co/AOjiJvQVyA",debunk,krunch_fr,4009979181,860177905476874240,0,2017-05-04T17:02:48.000Z
#Macron et l’évasion fiscale : itinéraire d’une rumeur sur un compte aux Bahamas  https://t.co/xOqvGlKJM4,debunk,abnegation91,1111313209,860193637744996352,1,2017-05-04T18:05:19.000Z
"Pseudo-compte aux Bahamas de Macron : propagation d'une intox
https://t.co/9L9N9XSao5 https://t.co/POnsGTC9Cn",debunk,arretsurimages,29955464,860174145191018497,28,2017-05-04T16:47:52.000Z
"""Compte aux Bahamas"" : dans les coulisses de la fake news visant #Macron - https://t.co/5h2maTJ8Bf #fakenews",debunk,jannikkel6,3170249476,860194899534245889,0,2017-05-04T18:10:20.000Z
"«Compte aux Bahamas» : le parquet ouvre une enquête après la plainte de #Macron
https://t.co/m3BLShH2in",debunk,krunch_fr,4009979181,860114247073898502,1,2017-05-04T12:49:51.000Z
"#Presidentielle2017
Compte aux #Bahamas :
#Macron porte plainte, le parquet ouvre une enquête. 
▶️ https://t.co/9Dolg4h8s5",debunk,FranceBedos,123214391,860097357039505408,0,2017-05-04T11:42:44.000Z
"«Compte aux Bahamas» : après la plainte de #Macron, le parquet ouvre une enquête https://t.co/LXN1tMNtX5",debunk,Fillerette,125302670,860212025535848448,0,2017-05-04T19:18:23.000Z
"#Compte aux #Bahamas : la justice ouvre une enquête après la #plainte de #Macron

https://t.co/bzoJXxjyLE",debunk,ServusLibertas,3426209727,860130769594929152,0,2017-05-04T13:55:30.000Z
